latitude,longitude,acq_date
-9.84907,-76.11474,7/1/20
-8.28638,-77.58871,7/1/20
-8.64747,-77.04685,7/1/20
-12.44937,-74.61479,7/1/20
-7.97523,-77.47742,7/1/20
-9.27748,-76.8278,7/1/20
-12.45013,-74.3866,7/1/20
-10.76349,-74.4178,7/1/20
-6.72179,-79.75613,7/1/20
-13.49979,-74.0218,7/1/20
-10.71752,-74.21532,7/1/20
-13.50733,-74.02818,7/1/20
-6.92722,-78.08365,7/1/20
-10.68299,-77.68044,7/1/20
-6.14297,-80.03021,7/1/20
-9.02623,-76.50696,7/1/20
-9.03201,-76.50711,7/1/20
-9.0314,-76.50372,7/1/20
-9.037,-76.50289,7/1/20
-9.0365,-76.50013,7/1/20
-9.0357,-76.50326,7/1/20
-9.03516,-76.50038,7/1/20
-10.70071,-77.69236,7/1/20
-10.70126,-77.69535,7/1/20
-9.24916,-76.54759,7/1/20
