date,idx,nonrspo,composite
2013-09-23,1052.911209,972.2846582,979.0638412
2013-09-24,1049.730637,968.8222355,977.7690539
2013-09-25,1048.065125,970.9676855,974.3561012
2013-09-26,1046.089351,971.5731983,977.7885192
2013-09-27,1040.372538,969.7619468,972.1880519
2013-09-30,1025.221354,957.7055241,959.7007716
2013-10-01,1036.916402,964.5622288,969.3302207
2013-10-02,1046.0705,965.7548302,975.4816828
2013-10-03,1048.33919,969.7647542,978.1628158
2013-10-04,1057.732882,976.7638763,986.2710626
2013-10-07,1050.410156,971.9641147,980.1669228
2013-10-08,1047.511605,973.1465475,977.1826151
2013-10-09,1045.589635,974.030929,976.919206
2013-10-10,1053.376679,981.4941941,985.3517694
2013-10-11,1059.013867,984.5136166,988.3570524
2013-10-14,1057.630547,981.9752805,987.0314365
2013-10-15,1057.626706,981.6974564,986.9752077
2013-10-16,1059.234841,986.7021564,991.5588795
2013-10-17,1071.238436,993.987693,1000.307045
2013-10-18,1074.800949,989.4848761,1000.89173
2013-10-21,1076.808004,988.8462949,1002.765395
2013-10-22,1084.244244,996.4716613,1011.221744
2013-10-23,1088.278739,999.7985299,1015.02846
2013-10-24,1092.314517,1009.552618,1020.858969
2013-10-25,1099.858919,1011.919539,1026.222831
2013-10-28,1102.976948,1013.337305,1028.751972
2013-10-29,1105.398536,1014.624835,1030.963545
2013-10-30,1114.940397,1024.545578,1041.717406
2013-10-31,1123.822207,1025.691876,1045.260236
2013-11-01,1126.925811,1024.055959,1044.854139
2013-11-04,1121.82133,1025.793384,1040.689077
2013-11-05,1126.214888,1025.242563,1043.811217
2013-11-06,1118.605483,1021.670491,1036.815341
2013-11-07,1125.254524,1023.554443,1041.903631
2013-11-08,1121.198657,1021.106662,1036.80208
2013-11-11,1120.543128,1013.834212,1035.974274
2013-11-12,1116.45065,1010.570641,1033.727027
2013-11-13,1112.397385,1000.737912,1028.508196
2013-11-14,1127.122191,1017.494993,1044.829979
2013-11-15,1136.908306,1028.920769,1057.331609
2013-11-18,1157.553272,1041.519907,1071.558477
2013-11-19,1165.925212,1051.108102,1084.974345
2013-11-20,1153.744953,1054.739728,1076.901657
2013-11-21,1139.131894,1042.227363,1061.60525
2013-11-22,1138.853407,1043.395937,1063.546838
2013-11-25,1138.824379,1042.410118,1062.541407
2013-11-26,1136.942349,1040.844568,1061.059262
2013-11-27,1131.480028,1034.516278,1054.936978
2013-11-28,1137.373942,1031.986369,1059.199651
2013-11-29,1137.334884,1028.752356,1059.253841
2013-12-02,1141.610461,1031.635977,1064.428807
2013-12-03,1135.670997,1031.887311,1060.014073
2013-12-04,1128.826049,1021.967182,1048.771537
2013-12-05,1129.446327,1029.061866,1053.354822
2013-12-06,1129.178289,1033.198246,1055.570744
2013-12-09,1141.464285,1046.151753,1066.933583
2013-12-10,1140.206826,1047.566046,1065.995316
2013-12-11,1129.585545,1044.624477,1055.582116
2013-12-12,1131.315437,1038.880669,1055.215645
2013-12-13,1126.229113,1035.316026,1050.977527
2013-12-16,1115.856112,1029.358735,1042.292359
2013-12-17,1117.813231,1031.647421,1045.291818
2013-12-18,1114.705165,1028.253759,1040.813876
2013-12-19,1108.789663,1025.930212,1033.850946
2013-12-20,1101.375197,1016.313646,1025.973071
2013-12-23,1095.25699,1012.441047,1022.347845
2013-12-24,1096.136609,1011.677831,1021.520742
2013-12-25,1096.597286,1011.677831,1021.53781
2013-12-26,1095.207995,1013.280712,1022.703727
